Question,Answer
Koje vrste kafe nudite?,"Nudimo specialty zrna u tri profila pečenja - svetlo (Etiopija Yirgacheffe), srednje (Brazil Santos) i tamno (Kolumbija Huila) - sva sveže pržena u malim serijama od strane partnerskih domaćih pržionica."
Koje je pečenje najbolje za espresso?,Preporučujemo srednje ili tamno pečenje (Brazil Santos ili Kolumbija Huila) za punije telo espresa.
Da li imate kafu bez kofeina?,Trenutno ne, ali planiramo da uvedemo opciju bez kofeina u narednoj sezoni - pratite naš blog za novosti.
Koliko su zrna sveža?,Sva zrna se prže na porudžbinu ili u malim serijama. Datum pečenja je uvek naznačen na pakovanju.
Koja oprema mi je potrebna da počnem da spremam kafu kod kuće?,"Za početak preporučujemo V60 dripper set (dripper, filteri, vaga) ili moka lonac, uz ručni mlin za sveže mlevenje neposredno pre pripreme."
Šta je V60 dripper?,"To je keramički lonac za pour-over pripremu filter kafe, koji daje čist i izražen ukus zrna."
Da li je potreban mlin za kafu?,Nije obavezan, ali toplo preporučen - sveže mlevena kafa ima znatno bogatiji ukus od unapred mlevene.
Koja oprema je najbolja za početnike?,Moka lonac je najjednostavniji za savladavanje. V60 zahteva malo više vežbe ali daje najčistiji ukus.
Kako se vrši dostava?,"Dostavljamo na teritoriji cele Srbije putem kurirske službe, obično u roku od 2-3 radna dana od potvrde porudžbine."
Koliko traje dostava?,U proseku 2-3 radna dana za veće gradove, do 5 radnih dana za udaljenija mesta.
Koja je cena dostave?,"Dostava je besplatna za porudžbine preko 3.000 RSD, u suprotnom se naplaćuje po cenovniku kurirske službe (oko 300 RSD)."
Da li dostavljate van Srbije?,"Trenutno ne, ali razmatramo proširenje na region u narednom periodu."
Kako mogu da platim porudžbinu?,Porudžbinu možete platiti pouzećem (gotovinom kuriru) ili platnom karticom prilikom onlajn plaćanja na sajtu.
Da li je moguće plaćanje pouzećem?,"Da, to je podrazumevana opcija za sve porudžbine unutar Srbije."
Da li prihvatate plaćanje karticom?,"Da, plaćanje karticom je omogućeno putem sigurnog onlajn plaćanja na sajtu (WooCommerce payment gateway)."
Da li je kupovina sigurna?,"Da, sva plaćanja karticom se obrađuju preko sertifikovanog platnog sistema, a vaši podaci se ne čuvaju na našem serveru."
Kako da vratim ili zamenim proizvod?,"Proizvod možete vratiti u zakonskom roku od 14 dana od prijema, ukoliko nije otvoren ili korišćen (za opremu). Za zrna kafe, reklamacije se rešavaju u slučaju oštećenja u transportu ili greške u porudžbini."
Koliki je rok za povraćaj?,14 dana od dana prijema porudžbine.
Ko snosi troškove povraćaja?,"Troškove povraćaja snosi kupac, osim u slučaju greške sa naše strane ili oštećenog proizvoda."
Kako da pokrenem zahtev za povraćaj?,"Pošaljite nam poruku putem kontakt forme na sajtu ili direktno kroz ovaj chat, uz broj porudžbine."
Da li nudite poklon pakete?,"Da, nudimo unapred pripremljene poklon pakete (zrna i oprema), kao i mogućnost da sami kreirate paket po želji."
Mogu li da dodam personalizovanu poruku?,"Da, prilikom porudžbine možete ostaviti tekst poruke koji štampamo na kartici uz poklon."
Koja je cena poklon pakovanja?,Poklon pakovanje je besplatno uz svaki poklon paket iz ponude.
Da li mogu poručiti pretplatu (mesečnu kutiju) kao poklon?,"Da, pretplata Zrno kluba može se poručiti kao poklon na 3, 6 ili 12 meseci."
